District,Upazilla,Union/Area,POP,Router,Vendor,Port,Description
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/8,
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/1,
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/2,
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/3,
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/4,
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/5,
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/6,
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/7,
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/8,
,,,,,,,
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/1,To_Jhalokathi-AR-NE40E-X3_GE1/1/7
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/2,
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/3,
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/4,
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/5,
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/6,
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/7,
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/8,
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/1,
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/2,
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/3,
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/4,
