District,Upazilla,Union/Area,POP,Switch,Vendor,Port,Description
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,GE1/7/4,<<Patuakhali_Univ>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,GE1/7/5,<<To_BSL_NE40E_GE1/1/1>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,GE1/7/6,
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,GE1/7/7,
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,GE1/7/8,
,,,,,,,
,,,,,,,
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/1,***Cab_VC_MPLS***
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/2,FAULTY PORT
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/3,Divisional-Comissioner-Internet-1M
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/4,<<DIG_Barisal>>
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/5,**PBS_Brsl***
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/6,***TTC***
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/7,**Port_Faulty**
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/8,**DG_Health**
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/9,<<HSTTI>>
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/10,
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/11,**Passport_Office_MRP_VPN**
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/12,*Barisal cadet coll closed 8-5-17*
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/13,
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/14,
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/15,
Barisal,Barisal Sadar,Barisal,Barisal DivComm Office,Barisal_DivCommHQ_ME3400,Cisco,GE0/16,***To_Chandmari-S3552_ETH1/1/5***
,,,,,,,
,,,,,,,
Jhalokathi,Jhalokathi Sadar,Jhalokathi,Jhalokathi BTCL Office,Jhalokathi-9303,Huawei,GE1/0/0,***InfoS_VPN***
Jhalokathi,Jhalokathi Sadar,Jhalokathi,Jhalokathi BTCL Office,Jhalokathi-9303,Huawei,GE1/0/1,***InfoS_kathali***
